Наименование|Категория|Полное наименование|Мощность, кВт|Номинальная частота вращения, об/мин|Фактическая частота вращения, об/мин|Номинальный ток, А (при U=380В)|Напряжение, В|Количество полюсов|КПД, %|Коэфициент мощности, COS φ|Соотношение токов, Iп/Iн|Соотношение крутящих моментов, Mп/ Mн|Соотношение крутящих моментов, Mтах/ Mн|Габариты, мм|Масса, кг|Частота, Гц|Класс энергоэффективности|Класс изоляции|Класс изоляции|Метод охлаждения|Класс защиты (пылевлагозащита)|Климатическое исполнение|Подшипник со стороны привода, DE |Подшипник со стороны насоса, NDE|Цена
АИС56A2|Электродвигатели АИС|Электродвигатель АИС56A2 0,09 кВт 3000 об/мин|0.09|3000|2700|0.29|220/380 ( Δ / Y )|2|62|0.77|5.2|2.2|2.1|201х115х156|3.8|50|IE1|F|S1|IC411|IP55|У1|62062RZ|62062RZ|3659
АИС56A4|Электродвигатели АИС|Электродвигатель АИС56A4 0,06 кВт 1500 об/мин|0.06|1500|1300|0.23|220/380 ( Δ / Y )|4|56|0.7|4|2.1|2|201х115х156|4|50|IE1|F|S1|IC411|IP55|У1|6311|6311|3659
АИС56B2|Электродвигатели АИС|Электродвигатель АИС56B2 0,12 кВт 3000 об/мин|0.12|3000|2700|0.37|220/380 ( Δ / Y )|2|64|0.78|5.2|2.2|2.1|201х115х156|4|50|IE1|F|S1|IC411|IP55|У1|62062RZ|62062RZ|3924
АИС56B4|Электродвигатели АИС|Электродвигатель АИС56B4 0,09 кВт 1500 об/мин|0.09|1500|1300|0.33|220/380 ( Δ / Y )|4|58|0.72|4|2.1|2|201х115х156|4.5|50|IE1|F|S1|IC411|IP55|У1|6311|6311|3924
АИС56C2|Электродвигатели АИС|Электродвигатель АИС56C2 0,18 кВт 3000 об/мин|0.18|3000|2700|0.53|220/380 ( Δ / Y )|2|63|0.75|5.2|2.2|2.1|201х115х156|4.2|50|IE1|F|S1|IC411|IP55|У1|62062RZ|62062RZ|4911
АИС56C4|Электродвигатели АИС|Электродвигатель АИС56C4 0,12 кВт 1500 об/мин|0.12|1500|1310|0.44|220/380 ( Δ / Y )|4|57|0.72|4|2.2|2.1|201х115х156|4.7|50|IE1|F|S1|IC411|IP55|У1|6311|6311|4714
АИС63A2|Электродвигатели АИС|Электродвигатель АИС63A2 0,18 кВт 3000 об/мин|0.18|3000|2720|0.53|220/380 ( Δ / Y )|2|65|0.8|5.5|2.2|2.3|224х137х172|4.5|50|IE1|F|S1|IC411|IP55|У1|62062RZ|62062RZ|3829
АИС63A4|Электродвигатели АИС|Электродвигатель АИС63A4 0,12 кВт 1500 об/мин|0.12|1500|1310|0.44|220/380 ( Δ / Y )|4|60|0.73|4.4|2.2|2.1|224х137х172|4.7|50|IE1|F|S1|IC411|IP55|У1|6312|6312|3829
АИС63A6|Электродвигатели АИС|Электродвигатель АИС63A6 0,09 кВт 1000 об/мин|0.09|1000|840|0.53|220/380 ( Δ / Y )|6|42|0.61|3.5|2|2|224х137х172|4.2|50|IE1|F|S1|IC411|IP55|У1|NU319|6319|0
АИС63B2|Электродвигатели АИС|Электродвигатель АИС63B2 0,25 кВт 3000 об/мин|0.25|3000|2720|0.69|220/380 ( Δ / Y )|2|68|0.8|5.5|2.3|2.3|224х137х172|4.7|50|IE1|F|S1|IC411|IP55|У1|62062RZ|62062RZ|4215
АИС63B4|Электродвигатели АИС|Электродвигатель АИС63B4 0,18 кВт 1500 об/мин|0.18|1500|1310|0.62|220/380 ( Δ / Y )|4|60|0.73|4.4|2.2|2.1|224х137х172|4.8|50|IE1|F|S1|IC411|IP55|У1|6312|6312|4092
АИС63B6|Электродвигатели АИС|Электродвигатель АИС63B6 0,12 кВт 1000 об/мин|0.12|1000|850|0.65|220/380 ( Δ / Y )|6|45|0.62|3.5|2|2|224х137х172|4.5|50|IE1|F|S1|IC411|IP55|У1|NU319|6319|0
АИС63C2|Электродвигатели АИС|Электродвигатель АИС63C2 0,37 кВт 3000 об/мин|0.37|3000|2720|1.01|220/380 ( Δ / Y )|2|68|0.8|5.5|2.3|2.3|224х137х172|4.8|50|IE1|F|S1|IC411|IP55|У1|62062RZ|62062RZ|4897
АИС63C4|Электродвигатели АИС|Электродвигатель АИС63C4 0,25 кВт 1500 об/мин|0.25|1500|1310|0.79|220/380 ( Δ / Y )|4|60|0.73|4.4|2.2|2.1|224х137х172|5|50|IE1|F|S1|IC411|IP55|У1|6312|6312|4866
АИС71A2|Электродвигатели АИС|Электродвигатель АИС71A2 0,37 кВт 3000 об/мин|0.37|3000|2755|1.01|220/380 ( Δ / Y )|2|69|0.81|6.1|2.3|2.3|247х133х198|6|50|IE1|F|S1|IC411|IP55|У1|62062RZ|62062RZ|4761
АИС71A4|Электродвигатели АИС|Электродвигатель АИС71A4 0,25 кВт 1500 об/мин|0.25|1500|1340|0.79|220/380 ( Δ / Y )|4|65|0.74|5.2|2.2|2.1|247х133х198|6|50|IE1|F|S1|IC411|IP55|У1|6312|6312|5016
АИС71A6|Электродвигатели АИС|Электродвигатель АИС71A6 0,18 кВт 1000 об/мин|0.18|1000|870|0.74|220/380 ( Δ / Y )|6|56|0.66|4|2|1.9|247х133х198|5.6|50|IE1|F|S1|IC411|IP55|У1|6319|6319|5311
АИС71A8|Электродвигатели АИС|Электродвигатель АИС71A8 0,09 кВт 750 об/мин|0.09|750|680|0.51|220/380 ( Δ / Y )|8|48|0.56|3|1.5|1.7|247х133х198|5.6|50|IE1|F|S1|IC411|IP55|У1|62042RZ |62042RZ |0
АИС71B2|Электродвигатели АИС|Электродвигатель АИС71B2 0,55 кВт 3000 об/мин|0.55|3000|2790|1.38|220/380 ( Δ / Y )|2|74|0.82|6.1|2.3|2.3|247х133х198|6.3|50|IE1|F|S1|IC411|IP55|У1|62062RZ|62062RZ|5414
АИС71B4|Электродвигатели АИС|Электродвигатель АИС71B4 0,37 кВт 750 об/мин|0.37|1500|1340|1.12|220/380 ( Δ / Y )|4|67|0.75|5.2|2.2|2.1|247х133х198|6.3|50|IE1|F|S1|IC411|IP55|У1|6312|6312|5547
АИС71B6|Электродвигатели АИС|Электродвигатель АИС71B6 0,25 кВт 1000 об/мин|0.25|1000|870|0.95|220/380 ( Δ / Y )|6|59|0.68|4|2|1.9|247х133х198|6|50|IE1|F|S1|IC411|IP55|У1|NU322|6322|5784
АИС71B8|Электродвигатели АИС|Электродвигатель АИС71B8 0,12 кВт 750 об/мин|0.12|750|690|0.61|220/380 ( Δ / Y )|8|51|0.59|2.7|1.6|1.7|247х133х198|6|50|IE1|F|S1|IC411|IP55|У1|62042RZ |62042RZ |0
АИС71C2|Электродвигатели АИС|Электродвигатель АИС71C2 0,75 кВт 3000 об/мин|0.75|3000|2790|1.77|220/380 ( Δ / Y )|2|72|0.82|6.1|2.3|2.3|247х133х198|7|50|IE1|F|S1|IC411|IP55|У1|62062RZ|62062RZ|6160
АИС71C4|Электродвигатели АИС|Электродвигатель АИС71C4 0,55 кВт 3000 об/мин|0.55|1500|1340|1.52|220/380 ( Δ / Y )|4|67|0.75|5.2|2.2|2.1|247х133х198|6.5|50|IE1|F|S1|IC411|IP55|У1|6312|6312|6298
АИС71C6|Электродвигатели АИС|Электродвигатель АИС71C6 0,37 кВт 3000 об/мин|0.37|1000|870|1.23|220/380 ( Δ / Y )|6|59|0.69|4|2|1.9|247х133х198|6.3|50|IE1|F|S1|IC411|IP55|У1|NU322|6322|7407
АИС80A2|Электродвигатели АИС|Электродвигатель АИС80A2 0,75 кВт 3000 об/мин|0.75|3000|2845|1.77|220/380 ( Δ / Y )|2|75|0.83|6.9|2.3|2.2|295х165х220|10|50|IE1|F|S1|IC411|IP55|У1|62062RZ|62062RZ|6624
АИС80A4|Электродвигатели АИС|Электродвигатель АИС80A4 0,55 кВт 1500 об/мин|0.55|1500|1390|1.52|220/380 ( Δ / Y )|4|71|0.75|6|2.3|2.3|295х165х220|10|50|IE1|F|S1|IC411|IP55|У1|6312|6312|6537
АИС80A6|Электродвигатели АИС|Электродвигатель АИС80A6 0,37 кВт 1500 об/мин|0.37|1000|880|1.23|220/380 ( Δ / Y )|6|62|0.7|4.7|2|1.9|295х165х220|10|50|IE1|F|S1|IC411|IP55|У1|NU322|6322|7020
АИС80A8|Электродвигатели АИС|Электродвигатель АИС80A8 0,18 кВт 750 об/мин|0.18|750|645|0.83|220/380 ( Δ / Y )|8|51|0.61|3.3|1.9|1.8|295х165х220|10|50|IE1|F|S1|IC411|IP55|У1|62042RZ |62042RZ |7258
АИС80B2|Электродвигатели АИС|Электродвигатель АИС80B2 1,1 кВт 3000 об/мин|1.1|3000|2835|2.61|220/380 ( Δ / Y )|2|76.2|0.84|6.9|2.3|2.2|295х165х220|11|50|IE1|F|S1|IC411|IP55|У1|62062RZ|62062RZ|7280
АИС80B4|Электродвигатели АИС|Электродвигатель АИС80B4 0,75 кВт 1500 об/мин|0.75|1500|1380|1.95|220/380 ( Δ / Y )|4|73|0.76|6|2.3|2.3|295х165х220|11|50|IE1|F|S1|IC411|IP55|У1|6313|6312|7168
АИС80B6|Электродвигатели АИС|Электродвигатель АИС80B6 0,55 кВт 1500 об/мин|0.55|1000|880|1.7|220/380 ( Δ / Y )|6|65|0.72|4.7|2.1|1.9|295х165х220|11|50|IE1|F|S1|IC411|IP55|У1|NU322|6322|7643
АИС80B8|Электродвигатели АИС|Электродвигатель АИС80B8 0,25 кВт 750 об/мин|0.25|750|645|1.1|220/380 ( Δ / Y )|8|54|0.61|3.3|1.9|1.8|295х165х220|11|50|IE1|F|S1|IC411|IP55|У1|62042RZ |62042RZ |8127
АИС80C2|Электродвигатели АИС|Электродвигатель АИС80C2 1,5 кВт 3000 об/мин|1.5|3000|2835|3.46|220/380 ( Δ / Y )|2|78.5|0.83|7|2.3|2.2|295х165х220|11.2|50|IE1|F|S1|IC411|IP55|У1|62062RZ|62062RZ|8450
АИС80C4|Электродвигатели АИС|Электродвигатель АИС80C4 1,1 кВт 3000 об/мин|1.1|1500|1380|2.85|220/380 ( Δ / Y )|4|73|0.76|6|2.3|2.3|295х165х220|12|50|IE1|F|S1|IC411|IP55|У1|6313|6312|8128
АИС80C6|Электродвигатели АИС|Электродвигатель АИС80C6 0,75 кВт 1500 об/мин|0.75|1000|880|2.33|220/380 ( Δ / Y )|6|68|0.72|4.7|2.1|1.9|295х165х220|12|50|IE1|F|S1|IC411|IP55|У1|NU322|6322|9536
АИС80C8|Электродвигатели АИС|Электродвигатель АИС80C8 0,37 кВт 750 об/мин|0.37|750|675|1.49|220/380 ( Δ / Y )|8|62|0.61|4|1.9|1.8|295х165х220|12|50|IE1|F|S1|IC411|IP55|У1|62042RZ |62042RZ |11185
АИС90L2|Электродвигатели АИС|Электродвигатель АИС90L2 2,2 кВт 3000 об/мин|2.2|3000|2855|4.85|220/380 ( Δ / Y )|2|81|0.85|7|2.2|2.3|345х180х250|23|50|IE1|F|S1|IC411|IP55|У1|62062RZ|62062RZ|10106
АИС90L4|Электродвигатели АИС|Электродвигатель АИС90L4 1,5 кВт 3000 об/мин|1.5|1500|1400|3.72|220/380 ( Δ / Y )|4|78.5|0.78|6|2.3|2.3|345х180х250|23|50|IE1|F|S1|IC411|IP55|У1|6313|6313|9596
АИС90L6|Электродвигатели АИС|Электродвигатель АИС90L6 1,1 кВт 3000 об/мин|1.1|1000|905|3.18|220/380 ( Δ / Y )|6|72|0.73|5.5|2|2.1|345х180х250|23|50|IE1|F|S1|IC411|IP55|У1|NU322|6322|10672
АИС90L8|Электродвигатели АИС|Электродвигатель АИС90L8 0,55 кВт 750 об/мин|0.55|750|680|2.17|220/380 ( Δ / Y )|8|63|0.61|4|1.8|2|345х180х250|23|50|IE1|F|S1|IC411|IP55|У1|62042RZ |62042RZ |11577
АИС90LB2|Электродвигатели АИС|Электродвигатель АИС90LB2 3 кВт 3000 об/мин|3|3000|2850|6.34|220/380 ( Δ / Y )|2|82.6|0.86|7|2.3|2.2|345х180х250|15|50|IE1|F|S1|IC411|IP55|У1|62082RZ|62082RZ|13089
АИС90LB4|Электродвигатели АИС|Электродвигатель АИС90LB4 2,2 кВт 1000 об/мин|2.2|1500|1400|5.09|220/380 ( Δ / Y )|4|78.5|0.78|6|2.3|2.3|345х180х250|17.6|50|IE1|F|S1|IC411|IP55|У1|6314|6313|12033
АИС90LB6|Электродвигатели АИС|Электродвигатель АИС90LB6 1,5 кВт 1000 об/мин|1.5|1000|905|4|220/380 ( Δ / Y )|6|74|0.75|5.5|2.1|2|345х180х250|15.52|50|IE1|F|S1|IC411|IP55|У1|62012RZ|62012RZ|12839
АИС90S2|Электродвигатели АИС|Электродвигатель АИС90S2 1,5 кВт 3000 об/мин|1.5|3000|2850|3.46|220/380 ( Δ / Y )|2|78.5|0.84|7|2.2|2.3|320х180х250|20|50|IE1|F|S1|IC411|IP55|У1|62062RZ|62062RZ|8889
АИС90S4|Электродвигатели АИС|Электродвигатель АИС90S4 1,1 кВт 3000 об/мин|1.1|1500|1390|2.85|220/380 ( Δ / Y )|4|76.2|0.77|6|2.3|2.3|320х180х250|19|50|IE1|F|S1|IC411|IP55|У1|6313|6312|8493
АИС90S6|Электродвигатели АИС|Электродвигатель АИС90S6 0,75 кВт 1500 об/мин|0.75|1000|905|2.29|220/380 ( Δ / Y )|6|69|0.72|5.3|2|2.1|320х180х250|20|50|IE1|F|S1|IC411|IP55|У1|NU322|6322|9010
АИС90S8|Электродвигатели АИС|Электродвигатель АИС90S8 0,37 кВт 750 об/мин|0.37|750|675|1.49|220/380 ( Δ / Y )|8|62|0.61|4|1.8|1.9|320х180х250|20|50|IE1|F|S1|IC411|IP55|У1|62042RZ |62042RZ |9884
