Наименование|Категория|Полное наименование|Мощность, кВт|Номинальная частота вращения, об/мин|Фактическая частота вращения, об/мин|Номинальный ток, А (при U=380В)|Напряжение, В|Количество полюсов|КПД, %|Коэфициент мощности, COS φ|Соотношение токов, Iп/Iн|Соотношение крутящих моментов, Mп/ Mн|Соотношение крутящих моментов, Mтах/ Mн|Габариты, мм|Масса, кг|Частота, Гц|Класс энергоэффективности|Класс изоляции|Класс изоляции|Метод охлаждения|Класс защиты (пылевлагозащита)|Климатическое исполнение|Подшипник со стороны привода, DE |Подшипник со стороны насоса, NDE|Цена
АИС112M8|Электродвигатели АИС|Электродвигатель АИС112M8 1,5 кВт 750 об/мин|1.5|750|690|4.4|220/380 ( Δ / Y )|8|74|0.7|5|1.8|2|400х226х290|41|50|IE1|F|S1|IC411|IP55|У1|62042RZ |62042RZ |18236
АИС112MA4|Электродвигатели АИС|Электродвигатель АИС112MA4 5,5 кВт 1500 об/мин|5.5|1500|1440|11.7|220/380 ( Δ / Y )|4|85.7|0.82|7|2.3|2.3|400х226х290|35.7|50|IE1|F|S1|IC411|IP55|У1|6317|6314|22961
АИС112MB2|Электродвигатели АИС|Электродвигатель АИС112MB2 7,5 кВт 3000 об/мин|7.5|3000|2880|14.9|220/380 ( Δ / Y )|2|84.2|0.88|7.5|2.2|2.3|400х226х290|30|50|IE1|F|S1|IC411|IP55|У1|62082RZ|62082RZ|20609
АИС132L6|Электродвигатели АИС|Электродвигатель АИС132L6 7,5 кВт 1000 об/мин|7.5|1000|960|19.9|380/660 ( Δ / Y )|6|85|0.77|6.5|2.1|2.1|510х260х338|47.6|50|IE1|F|S1|IC411|IP55|У1|62012RZ|62012RZ|0
АИС132LC4|Электродвигатели АИС|Электродвигатель АИС132LC4 11 кВт 1500 об/мин|11|1500|1460|22.3|380/660 ( Δ / Y )|4|88|0.85|7|2.3|2.3|510х260х338|64|50|IE1|F|S1|IC411|IP55|У1|6317|6314|35299
АИС132M4|Электродвигатели АИС|Электродвигатель АИС132M4 7,5 кВт 1500 об/мин|7.5|1500|1450|15.6|380/660 ( Δ / Y )|4|87|0.84|7|2.3|2.3|510х260х338|72|50|IE1|F|S1|IC411|IP55|У1|6317|6314|26599
АИС132M8|Электродвигатели АИС|Электродвигатель АИС132M8 3 кВт 750 об/мин|3|750|710|7.8|380/660 ( Δ / Y )|8|80|0.73|6|1.8|2|510х260х338|74|50|IE1|F|S1|IC411|IP55|У1|62042RZ |62042RZ |23876
АИС132MA6|Электродвигатели АИС|Электродвигатель АИС132MA6 4 кВт 1000 об/мин|4|1000|960|9.75|380/660 ( Δ / Y )|6|82|0.76|6.5|2.1|2.1|510х260х338|66|50|IE1|F|S1|IC411|IP55|У1|62012RZ|62012RZ|24112
АИС132MB2|Электродвигатели АИС|Электродвигатель АИС132MB2 11 кВт 3000 об/мин|11|3000|2930|21.3|380/660 ( Δ / Y )|2|88|0.89|7.5|2.3|2.2|510х260х338|52.5|50|IE1|F|S1|IC411|IP55|У1|62082RZ|62082RZ|31303
АИС132MB6|Электродвигатели АИС|Электродвигатель АИС132MB6 5,5 кВт 3000 об/мин|5.5|1000|960|12.7|380/660 ( Δ / Y )|6|84|0.77|6.5|2.1|2.1|510х260х338|76|50|IE1|F|S1|IC411|IP55|У1|62012RZ|62012RZ|27704
АИС132MC2|Электродвигатели АИС|Электродвигатель АИС132MC2 15 кВт 3000 об/мин|15|3000|2930|28.8|380/660 ( Δ / Y )|2|89|0.89|7.5|2|2.2|510х260х338|58|50|IE1|F|S1|IC411|IP55|У1|62082RZ|62082RZ|45752
АИС132S4|Электродвигатели АИС|Электродвигатель АИС132S4 5,5 кВт 1500 об/мин|5.5|1500|1440|11.7|380/660 ( Δ / Y )|4|85.7|0.83|7|2.3|2.3|483х260х338|63|50|IE1|F|S1|IC411|IP55|У1|6317|6314|23202
АИС132S6|Электродвигатели АИС|Электродвигатель АИС132S6 3 кВт 1000 об/мин|3|1000|960|7.4|380/660 ( Δ / Y )|6|81|0.76|6.5|2.1|2.1|483х260х338|59|50|IE1|F|S1|IC411|IP55|У1|62012RZ|62012RZ|20968
АИС132S8|Электродвигатели АИС|Электродвигатель АИС132S8 2,2 кВт 750 об/мин|2.2|750|710|6|380/660 ( Δ / Y )|8|79|0.71|6|1.8|2|483х260х338|61|50|IE1|F|S1|IC411|IP55|У1|62042RZ |62042RZ |20535
АИС132SA2|Электродвигатели АИС|Электродвигатель АИС132SA2 5,5 кВт 3000 об/мин|5.5|3000|2900|11.1|380/660 ( Δ / Y )|2|85.7|0.88|7.5|2.2|2.3|483х260х338|58|50|IE1|F|S1|IC411|IP55|У1|62082RZ|62082RZ|22279
АИС132SB2|Электродвигатели АИС|Электродвигатель АИС132SB2 7,5 кВт 3000 об/мин|7.5|3000|2900|14.9|380/660 ( Δ / Y )|2|87|0.88|7.5|2|2.2|483х260х338|43|50|IE1|F|S1|IC411|IP55|У1|62082RZ|62082RZ|23270
АИС160L2|Электродвигатели АИС|Электродвигатель АИС160L2 18,5 кВт 3000 об/мин|18.5|3000|2930|34.7|380/660 ( Δ / Y )|2|90|0.9|7.5|2.2|2.3|670х314х415|133|50|IE1|F|S1|IC411|IP55|У1|62082RZ|62082RZ|47227
АИС160L4|Электродвигатели АИС|Электродвигатель АИС160L4 15 кВт 1500 об/мин|15|1500|1460|30.1|380/660 ( Δ / Y )|4|89|0.85|7|2.3|2.3|670х314х415|100|50|IE1|F|S1|IC411|IP55|У1|6317|6317|45860
АИС160L6|Электродвигатели АИС|Электродвигатель АИС160L6 11 кВт 1500 об/мин|11|1000|970|24.5|380/660 ( Δ / Y )|6|87.5|0.78|6.5|2|2.1|670х314х415|122|50|IE1|F|S1|IC411|IP55|У1|62012RZ|62012RZ|44720
АИС160L8|Электродвигатели АИС|Электродвигатель АИС160L8 7,5 кВт 750 об/мин|7.5|750|720|17.8|380/660 ( Δ / Y )|8|85.5|0.75|6|1.9|2|670х314х415|128|50|IE1|F|S1|IC411|IP55|У1|62052RZ   |62052RZ   |45982
АИС160M4|Электродвигатели АИС|Электродвигатель АИС160M4 11 кВт 3000 об/мин|11|1500|1460|22.5|380/660 ( Δ / Y )|4|88.4|0.84|7|2.2|2.3|613х314х415|110|50|IE1|F|S1|IC411|IP55|У1|6317|6314|38655
АИС160M6|Электродвигатели АИС|Электродвигатель АИС160M6 7,5 кВт 3000 об/мин|7.5|1000|970|17.2|380/660 ( Δ / Y )|6|86|0.77|6.5|2|2.1|613х314х415|106|50|IE1|F|S1|IC411|IP55|У1|62012RZ|62012RZ|37285
АИС160MA2|Электродвигатели АИС|Электродвигатель АИС160MA2 11 кВт 3000 об/мин|11|3000|2930|21.1|380/660 ( Δ / Y )|2|88.4|0.89|7.5|2.2|2.3|613х314х415|107|50|IE1|F|S1|IC411|IP55|У1|62082RZ|62082RZ|36891
АИС160MA8|Электродвигатели АИС|Электродвигатель АИС160MA8 4 кВт 750 об/мин|4|750|720|10.3|380/660 ( Δ / Y )|8|81|0.73|6|1.9|2|613х314х415|95|50|IE1|F|S1|IC411|IP55|У1|62042RZ |62042RZ |36000
АИС160MB2|Электродвигатели АИС|Электродвигатель АИС160MB2 15 кВт 3000 об/мин|15|3000|2930|28.6|380/660 ( Δ / Y )|2|89.4|0.89|7.5|2.2|2.3|613х314х415|114|50|IE1|F|S1|IC411|IP55|У1|62082RZ|62082RZ|41785
АИС160MB8|Электродвигатели АИС|Электродвигатель АИС160MB8 5,5 кВт 750 об/мин|5.5|750|720|13.6|380/660 ( Δ / Y )|8|83|0.74|6|1.9|2|613х314х415|107|50|IE1|F|S1|IC411|IP55|У1|62042RZ |62042RZ |40780
АИС180L4|Электродвигатели АИС|Электродвигатель АИС180L4 22 кВт 1000 об/мин|22|1500|1470|43.2|380/660 ( Δ / Y )|4|90.5|0.86|7.5|2.2|2.3|740х355х455|178|50|IE1|F|S1|IC411|IP55|У1|NU319 |6319|65884
АИС180L6|Электродвигатели АИС|Электродвигатель АИС180L6 15 кВт 1000 об/мин|15|1000|970|31.6|380/660 ( Δ / Y )|6|89|0.81|7|2|2.1|740х355х455|167|50|IE1|F|S1|IC411|IP55|У1|62012RZ|62012RZ|57641
АИС180L8|Электродвигатели АИС|Электродвигатель АИС180L8 11 кВт 750 об/мин|11|750|730|25.5|380/660 ( Δ / Y )|8|87.5|0.75|6.5|2|2|740х355х455|169|50|IE1|F|S1|IC411|IP55|У1|62052RZ   |62052RZ   |61475
АИС180M2|Электродвигатели АИС|Электродвигатель АИС180M2 22 кВт 3000 об/мин|22|3000|2940|41|380/660 ( Δ / Y )|2|90.5|0.9|7.5|2|2.3|700х355х455|165|50|IE1|F|S1|IC411|IP55|У1|62082RZ|62082RZ|62144
АИС180M4|Электродвигатели АИС|Электродвигатель АИС180M4 18,5 кВт 1000 об/мин|18.5|1500|1470|36.3|380/660 ( Δ / Y )|4|90|0.86|7.5|2.2|2.3|700х355х455|160|50|IE1|F|S1|IC411|IP55|У1|NU319 |6319|58305
АИС200L4|Электродвигатели АИС|Электродвигатель АИС200L4 30 кВт 3000 об/мин|30|1500|1470|57.6|380/660 ( Δ / Y )|4|91.4|0.86|7.2|2.2|2.3|770х395х505|228|50|IE1|F|S1|IC411|IP55|У1|NU319 |6319|82294
АИС200L8|Электродвигатели АИС|Электродвигатель АИС200L8 15 кВт 750 об/мин|15|750|730|34.1|380/660 ( Δ / Y )|8|88|0.76|6.6|2|2|770х395х505|236|50|IE1|F|S1|IC411|IP55|У1|62052RZ   |62052RZ   |82006
АИС200LA2|Электродвигатели АИС|Электродвигатель АИС200LA2 30 кВт 3000 об/мин|30|3000|2950|55.4|380/660 ( Δ / Y )|2|91.4|0.9|7.5|2|2.3|770х395х505|218|50|IE1|F|S1|IC411|IP55|У1|6309|6309|78345
