Наименование|Категория|Полное наименование|Мощность, кВт|Номинальная частота вращения, об/мин|Фактическая частота вращения, об/мин|Номинальный ток, А (при U=380В)|Напряжение, В|Количество полюсов|КПД, %|Коэфициент мощности, COS φ|Соотношение токов, Iп/Iн|Соотношение крутящих моментов, Mп/ Mн|Соотношение крутящих моментов, Mтах/ Mн|Момент инерции, кг*м2|Уровень шума, Дб|Габаритные размеры, мм|Высота вала, мм|Масса, кг|Частота, Гц|Класс энергоэффективности|Класс изоляции|Метод охлаждения|Класс защиты (пылевлагозащита)|Климатическое исполнение|Цена, руб.
АИР180M8|Электродвигатели АИР|Электродвигатель АИР180M8 15 кВт 750 об/мин|15|750|730|34.1|380/660 ( Δ / Y )|8|88|0.76|6.6|2|2|0,1000|73|740x455|180|182|50|IE1|F|IC411|IP55|У1|68,571.00   
АИР160M2|Электродвигатели АИР|Электродвигатель АИР160M2 18,5 кВт 3000 об/мин|18.5|3000|2930|34.7|380/660 ( Δ / Y )|2|90|0.9|7.5|2|2.3|0,0550|86|660x420|160|120|50|IE1|F|IC411|IP55|У1|42,252.00   
АИР160M4|Электродвигатели АИР|Электродвигатель АИР160M4 18,5 кВт 1500 об/мин|18.5|1500|1470|36.3|380/660 ( Δ / Y )|4|90|0.86|7.5|2.2|2.3|0,0650|76|660x420|160|146|50|IE1|F|IC411|IP55|У1|46,915.00   
АИР180M6|Электродвигатели АИР|Электродвигатель АИР180M6 18,5 кВт 1000 об/мин|18.5|1000|980|38.6|380/660 ( Δ / Y )|6|90|0.81|7|2.1|2.1|0,0900|76|740x455|180|176|50|IE1|F|IC411|IP55|У1|64,636.00   
АИР200M8|Электродвигатели АИР|Электродвигатель АИР200M8 18,5 кВт 750 об/мин|18.5|750|730|41.1|380/660 ( Δ / Y )|8|90|0.76|6.6|1.9|2|0,3000|73|800x505|200|232|50|IE1|F|IC411|IP55|У1|85,867.00   
АИР180S2|Электродвигатели АИР|Электродвигатель АИР180S2 22 кВт 3000 об/мин|22|3000|2940|41|380/660 ( Δ / Y )|2|90.5|0.9|7.5|2|2.3|0,0620|89|700x455|180|164|50|IE1|F|IC411|IP55|У1|58,479.00   
АИР180S4|Электродвигатели АИР|Электродвигатель АИР180S4 22 кВт 1500 об/мин|22|1500|1470|43.2|380/660 ( Δ / Y )|4|90.5|0.86|7.5|2.2|2.3|0,0700|76|700x455|180|166|50|IE1|F|IC411|IP55|У1|60,376.00   
АИР200L8|Электродвигатели АИР|Электродвигатель АИР200L8 22 кВт 750 об/мин|22|750|730|48.9|380/660 ( Δ / Y )|8|90.5|0.78|6.6|1.9|2|0,3500|73|800x505|200|237|50|IE1|F|IC411|IP55|У1|75,311.00   
АИР200M6|Электродвигатели АИР|Электродвигатель АИР200M6 22 кВт 1000 об/мин|22|1000|980|44.7|380/660 ( Δ / Y )|6|90|0.83|7|2|2.1|0,2000|76|800x505|200|224|50|IE1|F|IC411|IP55|У1|94,739.00   
АИР180M2|Электродвигатели АИР|Электродвигатель АИР180M2 30 кВт 3000 об/мин|30|3000|2950|55.4|380/660 ( Δ / Y )|2|91.4|0.9|7.5|2|2.3|0,0700|92|740x455|180|200|50|IE1|F|IC411|IP55|У1|66,043.00   
АИР180M4|Электродвигатели АИР|Электродвигатель АИР180M4 30 кВт 1500 об/мин|30|1500|1470|57.6|380/660 ( Δ / Y )|4|91.4|0.86|7.2|2.2|2.3|0,0800|76|740x455|180|194|50|IE1|F|IC411|IP55|У1|69,909.00   
АИР200L6|Электродвигатели АИР|Электродвигатель АИР200L6 30 кВт 1000 об/мин|30|1000|980|59.3|380/660 ( Δ / Y )|6|91.5|0.84|7|2|2.1|0,2500|76|800x505|200|266|50|IE1|F|IC411|IP55|У1|89,052.00   
АИР225M8|Электродвигатели АИР|Электродвигатель АИР225M8 30 кВт 750 об/мин|30|750|735|63|380/660 ( Δ / Y )|8|91|0.79|6.5|1.9|2|0,8250 |75|875x560|225|324|50|IE1|F|IC411|IP55|У1|117,087.00   
АИР200M2|Электродвигатели АИР|Электродвигатель АИР200M2 37 кВт 3000 об/мин|37|3000|2950|67.9|380/660 ( Δ / Y )|2|92|0.88|7.5|2|2.3|0,1400|92|770x505|200|235|50|IE1|F|IC411|IP55|У1|90,900.00   
АИР200M4|Электродвигатели АИР|Электродвигатель АИР200M4 37 кВт 1500 об/мин|37|1500|1475|70.2|380/660 ( Δ / Y )|4|92|0.87|7.2|2.2|2.3|0,1500|79|800x505|200|264|50|IE1|F|IC411|IP55|У1|97,480.00   
АИР225M6|Электродвигатели АИР|Электродвигатель АИР225M6 37 кВт 1000 об/мин|37|1000|980|71|380/660 ( Δ / Y )|6|92|0.86|7|2.1|2.1|0,8250|78|875x560|225|314|50|IE1|F|IC411|IP55|У1|118,157.00   
АИР250S8|Электродвигатели АИР|Электродвигатель АИР250S8 37 кВт 750 об/мин|37|750|740|78|380/660 ( Δ / Y )|8|91.5|0.79|6.6|1.9|2|1,3500|76|920x615|250|413|50|IE1|F|IC411|IP55|У1|149,793.00   
АИР200L2|Электродвигатели АИР|Электродвигатель АИР200L2 45 кВт 3000 об/мин|45|3000|2960|82.1|380/660 ( Δ / Y )|2|92.5|0.9|7.5|2|2.3|0,1600|92|770x505|200|254|50|IE1|F|IC411|IP55|У1|100,192.00   
АИР200L4|Электродвигатели АИР|Электродвигатель АИР200L4 45 кВт 1500 об/мин|45|1500|1475|84.9|380/660 ( Δ / Y )|4|92.5|0.87|7.2|2.2|2.3|0,1800|81|800x505|200|292|50|IE1|F|IC411|IP55|У1|102,358.00   
АИР250M8|Электродвигатели АИР|Электродвигатель АИР250M8 45 кВт 750 об/мин|45|750|740|94|380/660 ( Δ / Y )|8|92|0.79|6.6|1.9|2|1,5500|76|920x615|250|488|50|IE1|F|IC411|IP55|У1|170,493.00   
АИР250S6|Электродвигатели АИР|Электродвигатель АИР250S6 45 кВт 1000 об/мин|45|1000|980|86|380/660 ( Δ / Y )|6|92.5|0.86|7|2.1|2|1,2800|80|920x615|250|402|50|IE1|F|IC411|IP55|У1|145,012.00   
АИР225M2|Электродвигатели АИР|Электродвигатель АИР225M2 55 кВт 3000 об/мин|55|3000|2970|100|380/660 ( Δ / Y )|2|93|0.9|7.5|2|2.3|0,2000|93|820x560|225|324|50|IE1|F|IC411|IP55|У1|117,198.00   
АИР225M4|Электродвигатели АИР|Электродвигатель АИР225M4 55 кВт 1500 об/мин|55|1500|1480|103|380/660 ( Δ / Y )|4|93|0.87|7.2|2.2|2.3|0,2000|81|875x560|225|342|50|IE1|F|IC411|IP55|У1|123,239.00   
АИР250M6|Электродвигатели АИР|Электродвигатель АИР250M6 55 кВт 1000 об/мин|55|1000|980|104|380/660 ( Δ / Y )|6|92.8|0.86|7|2.1|2|1,4800|80|920x615|250|436|50|IE1|F|IC411|IP55|У1|153,136.00   
АИР280S8|Электродвигатели АИР|Электродвигатель АИР280S8 55 кВт 750 об/мин|55|750|740|111|380/660 ( Δ / Y )|8|92.8|0.81|6.6|1.8|2|2,6300|82|1025x680|280|602|50|IE1|F|IC411|IP55|У1|197,905.00   
АИР250S2|Электродвигатели АИР|Электродвигатель АИР250S2 75 кВт 3000 об/мин|75|3000|2975|135|380/660 ( Δ / Y )|2|93.6|0.9|7|2|2.3|0,3500|94|920x615|250|446|50|IE1|F|IC411|IP55|У1|157,185.00   
АИР250S4|Электродвигатели АИР|Электродвигатель АИР250S4 75 кВт 1500 об/мин|75|1500|1480|138.3|380/660 ( Δ / Y )|4|93.6|0.88|6.8|2.2|2.3|0,3500|83|920x615|250|464|50|IE1|F|IC411|IP55|У1|164,961.00   
АИР280M8|Электродвигатели АИР|Электродвигатель АИР280M8 75 кВт 750 об/мин|75|750|740|150|380/660 ( Δ / Y )|8|93.5|0.81|6.2|1.8|2|3,3300|82|1075x680|280|720|50|IE1|F|IC411|IP55|У1|248,291.00   
АИР280S6|Электродвигатели АИР|Электродвигатель АИР280S6 75 кВт 1000 об/мин|75|1000|985|142|380/660 ( Δ / Y )|6|93.5|0.86|6.7|2|2|2,6300|85|1025x680|280|588|50|IE1|F|IC411|IP55|У1|211,616.00   
АИР250M2|Электродвигатели АИР|Электродвигатель АИР250M2 90 кВт 3000 об/мин|90|3000|2975|160|380/660 ( Δ / Y )|2|93.9|0.91|7.1|2|2.3|0,4000|96|920x615|250|476|50|IE1|F|IC411|IP55|У1|160,279.00   
АИР250M4|Электродвигатели АИР|Электродвигатель АИР250M4 90 кВт 1500 об/мин|90|1500|1480|165.5|380/660 ( Δ / Y )|4|93.9|0.88|6.8|2.2|2.3|0,4000|86|920x615|250|498|50|IE1|F|IC411|IP55|У1|177,502.00   
АИР280M6|Электродвигатели АИР|Электродвигатель АИР280M6 90 кВт 1000 об/мин|90|1000|985|169|380/660 ( Δ / Y )|6|93.8|0.86|6.7|2|2|3,3300|85|1075x680|280|596|50|IE1|F|IC411|IP55|У1|226,047.00   
